Time,sum([sp77]),sum([sp78]),sum([sp79]),sum([sp80]),sum([sp81]),sum([sp82]),sum([sp83]),sum([sp84]),sum([sp85]),sum([sp86]),sum([sp87]),sum([sp88]),sum([sp89]),sum([sp90]),sum([sp91])
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4812.118316330253,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4828.29877859394,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4906.0964420136,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5075.606069582922,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6205.123958464662,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6241.194606824596,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7054.59286849198,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7847.977848736839,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8424.125418107906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8576.04042241977,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10724.817765534595,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10799.249474188722,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25429.45936776416,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25493.821444065314,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25580.792308408876,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28888.137754414576,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28930.30958806278,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29051.499736197187,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29093.659641825347,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29296.76578667218,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29487.957585707445,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
33565.731137215436,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
33726.55998950436,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
34075.442393770674,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
34339.63509942012,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
34410.41789627769,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
34672.08062967781,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
40726.26648432805,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
40881.73274794637,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
43400.77508658753,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
