Time	OUTPUT
0	0
1.8	0
3.6	0
5.4	0
7.2	0
9	0
10.8	0
12.6	0
14.4	0
16.2	0
18	0
19.8	0
21.6	0
23.4	0
25.2	0
27	0
28.8	0
30.6	0
32.4	0
34.2	0
36	0
37.8	0
39.6	0
41.4	0
43.2	0
45	0
46.8	0
48.6	0
50.4	0
52.2	0
54	0
55.8	0
57.6	0
59.4	0
61.2	0
63	0
64.8	0
66.6	0
68.4	0
70.2	0
72	0
73.8	0
75.6	0
77.4	0
79.2	0
81	0
82.8	0
84.6	0
86.4	0
88.2	0
90	0
91.8	0
93.6	0
95.4	0
97.2	0
99	0
100.8	0
102.6	0
104.4	0
106.2	0
108	0
109.8	0
111.6	0
113.4	0
115.2	0
117	0
118.8	0
120.6	0
122.4	0
124.2	0
126	0
127.8	0
129.6	0
131.4	0
133.2	0
135	0
136.8	0
138.6	0
140.4	0
142.2	0
144	0
145.8	0
147.6	0
149.4	0
151.2	0
153	0
154.8	0
156.6	0
158.4	0
160.2	0
162	0
163.8	0
165.6	0
167.4	0
169.2	0
171	0
172.8	0
174.6	0
176.4	0
178.2	0
180	0
181.8	0
183.6	0
185.4	0
187.2	0
189	0
190.8	0
192.6	0
194.4	0
196.2	0
198	0
199.8	0
201.6	0
203.4	0
205.2	0
207	0
208.8	0
210.6	0
212.4	0
214.2	0
216	0
217.8	0
219.6	0
221.4	0
223.2	0
225	0
226.8	0
228.6	0
230.4	0
232.2	0
234	0
235.8	0
237.6	0
239.4	0
241.2	0
243	0
244.8	0
246.6	0
248.4	0
250.2	0
252	0
253.8	0
255.6	0
257.4	0
259.2	0
261	0
262.8	0
264.6	0
266.4	0
268.2	0
270	0
271.8	0
273.6	0
275.4	0
277.2	0
279	0
280.8	0
282.6	0
284.4	0
286.2	0
288	0
289.8	0
291.6	0
293.4	0
295.2	0
297	0
298.8	0
300.6	0
302.4	0
304.2	0
306	0
307.8	0
309.6	0
311.4	0
313.2	0
315	0
316.8	0
318.6	0
320.4	0
322.2	0
324	0
325.8	0
327.6	0
329.4	0
331.2	0
333	0
334.8	0
336.6	0
338.4	0
340.2	0
342	0
343.8	0
345.6	0
347.4	0
349.2	0
351	0
352.8	0
354.6	0
356.4	0
358.2	0
360	0
361.8	0
363.6	0
365.4	0
367.2	0
369	0
370.8	0
372.6	0
374.4	0
376.2	0
378	0
379.8	0
381.6	0
383.4	0
385.2	0
387	0
388.8	0
390.6	0
392.4	0
394.2	0
396	0
397.8	0
399.6	0
401.4	0
403.2	0
405	0
406.8	0
408.6	0
410.4	0
412.2	0
414	0
415.8	0
417.6	0
419.4	0
421.2	0
423	0
424.8	0
426.6	0
428.4	0
430.2	0
432	0
433.8	0
435.6	0
437.4	0
439.2	0
441	0
442.8	0
444.6	0
446.4	0
448.2	0
450	0
451.8	0
453.6	0
455.4	0
457.2	0
459	0
460.8	0
462.6	0
464.4	0
466.2	0
468	0
469.8	0
471.6	0
473.4	0
475.2	0
477	0
478.8	0
480.6	0
482.4	0
484.2	0
486	0
487.8	0
489.6	0
491.4	0
493.2	0
495	0
496.8	0
498.6	0
500.4	0
502.2	0
504	0
505.8	0
507.6	0
509.4	0
511.2	0
513	0
514.8	0
516.6	0
518.4	0
520.2	0
522	0
523.8	0
525.6	0
527.4	0
529.2	0
531	0
532.8	0
534.6	0
536.4	0
538.2	0
540	0
541.8	0
543.6	0
545.4	0
547.2	0
549	0
550.8	0
552.6	0
554.4	0
556.2	0
558	0
559.8	0
561.6	0
563.4	0
565.2	0
567	0
568.8	0
570.6	0
572.4	0
574.2	0
576	0
577.8	0
579.6	0
581.4	0
583.2	0
585	0
586.8	0
588.6	0
590.4	0
592.2	0
594	0
595.8	0
597.6	0
599.4	0
601.2	0
603	0
604.8	0
606.6	0
608.4	0
610.2	0
612	0
613.8	0
615.6	0
617.4	0
619.2	0
621	0
622.8	0
624.6	0
626.4	0
628.2	0
630	0
631.8	0
633.6	0
635.4	0
637.2	0
639	0
640.8	0
642.6	0
644.4	0
646.2	0
648	0
649.8	0
651.6	0
653.4	0
655.2	0
657	0
658.8	0
660.6	0
662.4	0
664.2	0
666	0
667.8	0
669.6	0
671.4	0
673.2	0
675	0
676.8	0
678.6	0
680.4	0
682.2	0
684	0
685.8	0
687.6	0
689.4	0
691.2	0
693	0
694.8	0
696.6	0
698.4	0
700.2	0
702	0
703.8	0
705.6	0
707.4	0
709.2	0
711	0
712.8	0
714.6	0
716.4	0
718.2	0
720	0
721.8	0
723.6	0
725.4	0
727.2	0
729	0
730.8	0
732.6	0
734.4	0
736.2	0
738	0
739.8	0
741.6	0
743.4	0
745.2	0
747	0
748.8	0
750.6	0
752.4	0
754.2	0
756	0
757.8	0
759.6	0
761.4	0
763.2	0
765	0
766.8	0
768.6	0
770.4	0
772.2	0
774	0
775.8	0
777.6	0
779.4	0
781.2	0
783	0
784.8	0
786.6	0
788.4	0
790.2	0
792	0
793.8	0
795.6	0
797.4	0
799.2	0
801	0
802.8	0
804.6	0
806.4	0
808.2	0
810	0
811.8	0
813.6	0
815.4	0
817.2	0
819	0
820.8	0
822.6	0
824.4	0
826.2	0
828	0
829.8	0
831.6	0
833.4	0
835.2	0
837	0
838.8	0
840.6	0
842.4	0
844.2	0
846	0
847.8	0
849.6	0
851.4	0
853.2	0
855	0
856.8	0
858.6	0
860.4	0
862.2	0
864	0
865.8	0
867.6	0
869.4	0
871.2	0
873	0
874.8	0
876.6	0
878.4	0
880.2	0
882	0
883.8	0
885.6	0
887.4	0
889.2	0
891	0
892.8	0
894.6	0
896.4	0
898.2	0
900	0
901.8	0
903.6	0
905.4	0
907.2	0
909	0
910.8	0
912.6	0
914.4	0
916.2	0
918	0
919.8	0
921.6	0
923.4	0
925.2	0
927	0
928.8	0
930.6	0
932.4	0
934.2	0
936	0
937.8	0
939.6	0
941.4	0
943.2	0
945	0
946.8	0
948.6	0
950.4	0
952.2	0
954	0
955.8	0
957.6	0
959.4	0
961.2	0
963	0
964.8	0
966.6	0
968.4	0
970.2	0
972	0
973.8	0
975.6	0
977.4	0
979.2	0
981	0
982.8	0
984.6	0
986.4	0
988.2	0
990	0
991.8	0
993.6	0
995.4	0
997.2	0
999	0
1000.8	0
1002.6	0
1004.4	0
1006.2	0
1008	0
1009.8	0
1011.6	0
1013.4	0
1015.2	0
1017	0
1018.8	0
1020.6	0
1022.4	0
1024.2	0
1026	0
1027.8	0
1029.6	0
1031.4	0
1033.2	0
1035	0
1036.8	0
1038.6	0
1040.4	0
1042.2	0
1044	0
1045.8	0
1047.6	0
1049.4	0
1051.2	0
1053	0
1054.8	0
1056.6	0
1058.4	0
1060.2	0
1062	0
1063.8	0
1065.6	0
1067.4	0
1069.2	0
1071	0
1072.8	0
1074.6	0
1076.4	0
1078.2	0
1080	0
1081.8	0
1083.6	0
1085.4	0
1087.2	0
1089	0
1090.8	0
1092.6	0
1094.4	0
1096.2	0
1098	0
1099.8	0
1101.6	0
1103.4	0
1105.2	0
1107	0
1108.8	0
1110.6	0
1112.4	0
1114.2	0
1116	0
1117.8	0
1119.6	0
1121.4	0
1123.2	0
1125	0
1126.8	0
1128.6	0
1130.4	0
1132.2	0
1134	0
1135.8	0
1137.6	0
1139.4	0
1141.2	0
1143	0
1144.8	0
1146.6	0
1148.4	0
1150.2	0
1152	0
1153.8	0
1155.6	0
1157.4	0
1159.2	0
1161	0
1162.8	0
1164.6	0
1166.4	0
1168.2	0
1170	0
1171.8	0
1173.6	0
1175.4	0
1177.2	0
1179	0
1180.8	0
1182.6	0
1184.4	0
1186.2	0
1188	0
1189.8	0
1191.6	0
1193.4	0
1195.2	0
1197	0
1198.8	0
1200.6	0
1202.4	0
1204.2	0
1206	0
1207.8	0
1209.6	0
1211.4	0
1213.2	0
1215	0
